DATE,PLOT,SPECIES,"FQ,20,5","FQ,20,15","FQ,20,25","FQ,20,35","FQ,20,45","FQ,20,55","FQ,20,65","FQ,20,75","FQ,20,85","FQ,20,95","FQ,20,AVG","FQ,50,5","FQ,50,15","FQ,50,25","FQ,50,35","FQ,50,45","FQ,50,55","FQ,50,65","FQ,50,75","FQ,50,85","FQ,50,95","FQ,50,AVG","CV,5","CV,15","CV,25","CV,35","CV,45","CV,55","CV,65","CV,75","CV,85","CV,95","CV,AVG"
10/2/201,102,Bare Ground,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,45,40,58,46,29,54,39,28,36,0.409
10/2/201,102,Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,22,24,24,20,23,17,24,12,14,0.203
10/2/201,102,Litter Ground,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,0,3,1,1,3,2,4,0.025
10/2/201,102,Litter Standing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,2,2,1,3,0.013
10/2/201,102,Cryptogamic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.002
10/2/201,102,BOUARI,15,18,15,14,11,14,16,20,10,12,0.580,20,22,20,20,17,19,20,21,17,18,0.776,8,5,6,4,9,5,4,9,10,4,0.064
10/2/201,102,BOUBAR,3,3,7,2,4,3,5,0,3,1,0.124,10,10,8,7,7,12,8,6,5,3,0.304,0,0,0,0,0,2,0,2,0,0,0.004
10/2/201,102,LARTRI,2,0,1,0,0,0,0,0,1,0,0.016,3,2,1,1,1,1,0,0,1,0,0.040,24,15,14,9,11,18,8,4,19,26,0.148
10/2/201,102,EPHNEV,0,0,0,0,0,0,0,0,0,0,0.000,1,0,0,0,0,0,0,0,0,0,0.004,1,0,0,0,0,0,0,0,0,0,0.001
10/2/201,102,OPUBAS,0,0,0,0,0,0,0,1,0,0,0.004,0,0,0,0,0,0,0,1,0,0,0.004,1,0,0,0,0,0,0,1,0,0,0.002
10/2/201,102,AMBSAL,0,0,1,0,0,0,0,0,0,0,0.004,0,0,1,0,0,2,1,0,0,0,0.016,2,2,3,2,3,10,5,3,0,4,0.034
10/2/201,102,DASPUL,1,0,0,0,0,0,0,0,0,0,0.004,2,0,0,0,0,0,0,0,0,0,0.008,0,1,0,0,0,0,0,0,0,0,0.001
10/2/201,102,BOETRI,1,0,0,0,0,1,0,0,0,0,0.008,1,0,1,1,0,4,0,3,1,0,0.044,1,0,0,0,0,0,0,0,0,0,0.001
10/2/201,102,BOEWRI,1,0,2,0,1,1,0,0,0,1,0.024,1,2,3,0,1,3,1,2,0,2,0.060,0,0,0,0,0,0,0,0,0,0,0.000
10/2/201,102,AMBDUM,1,1,2,0,0,4,1,0,2,1,0.048,1,5,2,1,1,2,5,5,2,5,0.116,2,6,7,2,5,16,4,9,11,8,0.070
10/2/201,102,KRAERE,1,0,0,0,0,0,0,0,0,0,0.004,1,0,0,0,0,0,0,0,0,0,0.004,1,0,0,0,0,0,0,0,0,0,0.001
10/2/201,102,ALLINC,0,0,1,1,0,0,0,2,0,2,0.024,0,3,2,2,2,3,4,4,3,4,0.108,0,0,0,0,0,0,0,1,0,1,0.002
10/2/201,102,LEPFRE,1,0,0,0,0,0,0,0,0,0,0.004,1,0,0,0,0,0,0,0,0,0,0.004,2,0,0,0,0,0,0,0,0,0,0.002
10/2/201,102,YUCSHI,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0,0,0,0.000,1,0,0,0,0,0,0,4,0,5,0.010
10/2/201,102,STEPAV,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,1,0,0,0,0,0.004,0,0,0,0,0,1,0,0,0,0,0.001
10/2/201,102,CHAMIC,0,0,0,0,0,0,0,1,0,0,0.004,0,0,0,0,0,0,1,2,0,0,0.012,0,0,0,0,0,0,0,0,0,0,0.000
10/2/201,102,CHASET,0,0,0,0,0,0,0,0,0,0,0.000,0,1,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0.000
10/2/201,102,CYLRAM,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,1,0,0,1,0,0,0,0.002
10/2/201,102,PORGRA,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,1,0,0,0,0,0,0.004,0,0,0,0,1,0,0,0,0,0,0.001
10/2/201,102,LYCAND,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,1,0,0,0,0,0,0.001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
